Sección;División;Agrupación;Grupo;Epígrafe;Denominación;Alta en I.A.E.
1;3;34;345;345,8;FAB. OTROS APARATOS ELECTRICOS;
1;3;34;345;345,9;FAB. ACCESORIOS DE APAR. ELECTRODOMEST.;
1;3;34;346;;FAB. LAMPARAS Y MATERIAL DE ALUMBRADO;Si
1;3;34;346;346,1;FAB. LAMPARAS ELECTRICAS;
1;3;34;346;346,2;FAB.LUMINARIAS DE ALTA INTENSIDAD;
1;3;34;346;346,3;FAB. ART. CARBON Y GRAFITO USO ELECTRIC.;
1;3;34;346;346,4;FAB. OTRO MATERIAL DE ALUMBRADO;
1;3;34;346;346,5;FAB. ACCESORIOS MATERIAL ALUMBRADO;
1;3;35;;;FAB. DE MATERIAL ELECTRONICO (EXC. ORD.);
1;3;35;351;;FAB. DE APARATOS Y EQUIPO DE TELECOM.;
1;3;35;351;351,1;FAB. APARATOS TELEFONICOS Y TELEGRAFICOS;Si
1;3;35;351;351,2;FAB.APARATOS TELECOMUNICACION RADIODIF.;Si
1;3;35;352;;FAB. APARATOS USO PROFESIONAL CIENTIFICO;Si
1;3;35;353;;FAB.APARAT.SEÑALIZACION,CONTROL;Si
1;3;35;354;;FAB.COMPONENTES ELECTRONICOS Y CIRCUITOS;Si
1;3;35;354;354,1;FAB. VALVULAS Y TUBOS ELECTRONICOS;
1;3;35;354;354,2;FAB. OTROS COMPONENTES ELECTRONICOS;
1;3;35;354;354,3;FAB. COMPONENTES ELECTRONICOS PASIVOS;
1;3;35;354;354,4;ACCESORIOS DE COMPONENTES ELECTRONICOS;
1;3;35;355;;FAB. DE APARATOS DE SONIDO E IMAGEN;
1;3;35;355;355,1;FAB. RECEPTORES RADIO, TV, Y SONIDO;Si
1;3;35;355;355,2;EDICION SOPORTES AUDIO,VIDEO,INFORMATICA;Si
1;3;36;;;CONST. VEHICULOS AUTO. Y PIEZAS REPUESTO;
1;3;36;361;;CONSTRUCCION DE VEHICULOS AUTOMOVILES;Si
1;3;36;361;361,1;AUTOMOVILES DE TURISMO;
1;3;36;361;361,2;AUTOBUSES Y AUTOCARES;
1;3;36;361;361,3;CAMIONES;
1;3;36;361;361,4;OTROS VEHICULOS AUTOMOVILES;
1;3;36;361;361,5;MOTORES PARA VEHICULOS AUTOMOVILES;
1;3;36;361;361,6;CHASIS CON MOTOR PARA AUTOMOVILES;
1;3;36;361;361,7;COMPONENTES PARA VEHICULOS AUTOMOVILES;
1;3;36;362;;CONSTRUCC. CARROCERIAS, REMOLQUES...;Si
1;3;36;362;362,1;CARROCERIAS AUTOMOVILES Y REMOLQUES;
1;3;36;362;362,2;REMOLQUES Y VOLQUETES;
1;3;36;363;;FAB.EQUIPO,COMPONENTES,REPUESTOS, COCHES;Si
1;3;36;363;363,1;REPUESTOS Y ACCESORIOS MOTORES AUTOS;
1;3;36;363;363,2;ACCESORIOS Y REPUESTOS CARROCERIAS AUTO;
1;3;36;363;363,9;OTROS ACCESORIOS Y REPUESTOS AUTOMOVILES;
1;3;37;;;CONST. NAVAL, REPAR. Y MANT. DE BUQUES;
1;3;37;371;;CONSTRUCCION NAVAL;Si
1;3;37;371;371,1;BUQUES DE CASCO DE ACERO;
1;3;37;371;371,2;BUQUES DE CASCO DE MADERA;
1;3;37;371;371,3;BUQUES DE CASCO DE PLASTICO;
1;3;37;371;371,4;ARTEFACTOS FLOTANTES;
1;3;37;371;371,5;MOTORES, Y TURBINAS PARA EMBARCACIONES;
1;3;37;371;371,6;ACCESORIOS Y REPUESTOS EMBARCACIONES;
1;3;37;372;;REPARACION Y MANTENIMIENTO DE BUQUES;Si
1;3;37;372;372,1;SERV.REPARACION Y MANTENIM. BUQUES;
1;3;37;372;372,2;SERV.DESGUACE DE EMBARCACIONES;
1;3;38;;;CONST. DE OTRO MATERIAL DE TRANSPORTE;
1;3;38;381;;CONST.REPARAC.MANTENIM. FERROCARRILES;Si
1;3;38;381;381,1;MATERIAL FERROVIARIO;
1;3;38;381;381,2;SERV. REPARACION MATERIAL FERROVIARIO;
1;3;38;382;;CONSTRUCC.REPARACION, MANT. AERONAVES;Si
1;3;38;382;382,1;AERONAVES E INGENIOS ESPACIALES;
1;3;38;382;382,2;SERV. REPARACION Y MANTENIMIENTO AVIONES;
1;3;38;383;;CONSTRUCC. BICICLETAS Y MOTOCICLETAS;Si
1;3;38;383;383,1;MOTOCICLETAS, Y CICLOMOTORES;
1;3;38;383;383,2;BICICLETAS, TRICICLOS Y MONOCICLOS;
1;3;38;383;383,3;VEHICULOS ESPECIALES CON MEC. PROPULSION;
1;3;38;383;383,4;MOTORES PARA MOTOS, CICLIMOTORES;
1;3;38;383;383,5;ACCESORIOS PARA MOTOS Y BICICLETAS;
